considerable|adj. 重要的；相当大的；可观的
disclosure|n. 揭露；泄露；公开
concealment|n. 隐藏；藏匿；隐瞒
uncover|v. 揭开；揭露
unveil|v. 摘下面纱；揭幕；揭露
backward|adv. 向后地；adj. 向后的
cheap living expenses|phrase. 低生活成本；低生活花销
economic gap|phrase. 经济差距
hamlet|n. 小村庄
idyllic|adj. 田园诗的
imbalance|n. 失衡；不平衡
in the long run|phrase. 从长远来看；¸后
infrastructure|n. 基础设施
locality|n. 地区；地点
low crime rate|phrase. 低犯罪率
monotonous|adj. 单调乏味的；毫无变化的
on the brink of|phrase. 濒于；即将要
outskirts|n. 郊区
pastoral|adj. 牧师的；牧人的；田园的；n. 牧歌；田园诗；田园景色
quietness|n. 宁静；平静
suburb|n. 市郊；郊区
tedious|adj. 冗长的；沉闷的
tranquility|n. 宁静；安宁；平静
uninformed|adj. 知识不够的；不了解情况的；愚昧的
booming|adj. 急速发展的；暴涨的；繁荣发展的；v. 发出隆隆声；快速发展；暴涨；“boom”的现在分词
centralisation|n. 集中化
city centre|phrase. 市中心
city planner|phrase. 城市规划师
commercialisation|n. 商业化
metropolis|n. 大都市；首府
municipal|adj. 市的；市政的
municipality|n. 自治市；市当局
real estate|phrase. 房地产；不动产
residential area|phrase. 住宅区；居民区
residential quarter|phrase. 住宅区
shopping centre|phrase. 购物中心；商业中心
slum|n. 贫民窟；贫民区
traffic congestion|phrase. 交通堵塞；交通拥挤
urban construction|phrase. 城市建设
urban sprawl|phrase. 城市无规划扩张
result|n. 结果；成败；成效；比分；v. 由于；导致
announcement|n. 通告；宣告
announcer|n. 广播员；告知者；报幕员
reveal|v. 揭露；泄露；（使）显露；n. （电视节目¸后的）揭示
disease|n. 病；疾病
associate|v. 把…联系在一起；与…交往；n. 同事；伙伴；adj. 副的
afflict|v. 使痛苦；使苦恼；折磨
torment|n. 痛苦；折磨；令人痛苦的东西；v. 折磨；使痛苦；烦扰；纠缠；戏弄
torture|n. 酷刑；拷打；v. 拷打；折磨
adequate for|phrase. 适合； 足够
assessment|n. 评估；评定；估计
bear through|phrase. 忍耐
concentrate on|phrase. 集中于； 专心于
describe as|phrase. 描述为
effort|n. 努力；尽力
environmental aspect|phrase. 环境概貌（状况、条件）；环境因素
feedback|n. 反馈
financial strain|phrase. 资金紧张
fulfill duty|phrase. 履行职责
go to great lengths to|phrase. 不遗余力地
goal-oriented|phrase. 目标导向型；目标导向的
goal-setting|phrase. 目标设定
high-efficiency|phrase. 高效；高效的
in-depth interview|phrase. 深度访谈
merit|n. 优点；功绩；价值；v. 值得；应得
profitability analysis|phrase. 获利能力分析；盈利分析
questionnaire|n. 调查问卷；调查表
risk analysis|phrase. 风险分析
sampling survey|phrase. 抽样调查
statistic analysis|phrase. 统计分析
SWOT analysis|phrase. 强弱危机分析；四点分析(SWOT = Strength, Weakness, Opportunity, Threats)
target|n. 目标；对象；靶；v. 以…为目标；瞄准
task-oriented|phrase. 任务导向的；工作取向的
under investigation|phrase. 在调查中
ache|n. 疼痛；隐痛；渴望；v. 疼痛；隐痛
Alzheimer's|n. 阿尔茨海默氏症；老年性痴呆
Alzheimer's disease|phrase. 阿尔兹海默症
amnesia|n. 健忘症；记忆缺失
atrophy|n. 萎缩；衰退；v. 萎缩；衰退
backache|n. 背痛；腰痛
central paralysis|phrase. 中枢性瘫痪
dehydrate|v. （使）脱水；去水
dementia|n. 痴呆；失智症
diagnosable|adj. 可诊断的
disturbance|n. 干扰；障碍；紊乱；骚乱
dreaminess|n. 多梦
dry eyes|phrase. 不落泪的眼(指不哭的人)；干涩的眼睛；干眼症
emotional instability|phrase. 情绪不稳
endocrine|adj. 内分泌腺的；内分泌的
enfeeble|v. 使衰弱；使无力
epilepsy|n. 癫痫；羊角风
fatigue|n. 疲乏；劳累
get numb|phrase. 麻木
hemiplegia|n. 偏瘫；半身麻痹
insomnia|n. 失眠（症）
language barrier|n. 语言障碍
lose consciousness|phrase. 失去知觉；昏厥
memory deterioration|phrase. 记忆力衰退
migraine|n. 偏头疼
nerve system|phrase. 神经系统
nervousness|n. 紧张不安；局促；神经质
neuralgia|n. 神经痛
neurological|adj. 神经学的；神经病学的
paralysis|n. 瘫痪；麻痹
paralytic|adj. 瘫痪的；麻痹的；烂醉的；n. 瘫痪病人；麻痹患者
paralyse|v. 使麻痹；使瘫痪；使无效；使停止活动
Parkinson's disease|phrase. 帕金森病
sleep disorder|phrase. 睡眠障碍；失眠
tinnitus|n. 耳鸣
episodic|adj. 由松散片段组成的；插曲般的；不定期发生的
process|n. 过程；进程；工序；v. 处理；加工
course|n. 课程；过程；一道菜；v. 快速流动；（思想或感情）涌动
encode|v. 给…加密；将…译成密码；编码
information|n. 信息；资料
strengthen|v. 加强；巩固
stabilise|v. 使稳定；使安定
stabilisation|n. 稳定
stability|n. 固定；牢固；稳定
facilitate|v. 使容易；使便利；促进；帮助
retrieval|n. 取回；挽回；重获；检索
retrieve|v. 取回；重新获得；检索数据
arouse|v. 引起（兴趣/愤怒等）
elicit|v. 引出；诱出；探出
elicitation|n. 启发
foment|v. 煽动；激起
fortify|v. 设防御工事；加强；增加营养物
impel|v. 促使；驱策；迫使
compel|v. 强迫；胁迫
dispel|v. 驱散；消除；打消
impetus|n. 冲力；推动力；刺激
incite|v. 煽动；刺激；鼓动
instigate|v. 教唆；煽动；激起
intensify|v. 加强；强化
rise|v. 上升；提高；n. 上升；提高
kindle|v. 点燃；生火；激起；发亮
promote|v. 促进；推动；提拔；宣传；推销
promotion|n. 促进；提升；推广
prompt|adj. 迅速的；准时的；v. 提示；促使；n. 提示；提词
promptly|adv. 马上；迅速地；敏捷地；准时地
propel|v. 推进；推动
stimulate|v. 刺激；激励
urge|v. 催促；力劝；n. 强烈欲望；迫切要求
balance|n. 天平、秤；平衡；收支差额；余额；v. （使）平衡；（使）相抵
erratic|adj. 古怪的；飘忽不定的；不稳定的
immobile|adj. 不能移动的；静止的
mobile|adj. 可移动的；易变的
immobility|n. 固定性；不动；不变
immutable|adj. 不可改变的；永恒不变的
active|adj. 积极的；活跃的；主动的
poise|n. 平衡；姿态；镇静；v. 使平衡；保持（某种姿势）
stable|adj. 稳定的；牢固的；稳重的；n. 马厩；畜舍
unstable|adj. 不稳定的
static|adj. 静止的；不变的；n. 静电
dynamic|adj. 动态的；有活力的；不断变化的；n. 活力；动力
stationary|adj. 固定的；不动的
steady|adj. 稳定的
steadily|adv. 稳定地；稳固地
variable|adj. 可变的；易变的；不稳定的；n. 变量；易变的东西
variability|n. 可变性；易变性
dispose|v. 安排；处置；处理；除去；有…倾向；有意于
handle|v. 处理；操纵；n. 柄；把手
tackle|v. 处理；阻截；n. 用具；阻截
treat|v. 对待；招待；治疗；n. 款待
in the course of|phrase. 在...期间
conduct|v. 实施；表现；指挥；引导；传导（电、热）；n. 行为，举止；实施方式
a number of|phrase. 许多的；大量的
discover|v. 发现；查明；发觉
discovery|n. 发现；发觉
fail to|phrase. 未能...
obvious|adj. 明显的；显然的
profound|adj. 深刻的；渊博的；深奥的；深远的
abstruse|adj. 难解的；深奥的
esoteric|adj. 秘传的；深奥的；难懂的
trend|n. 趋势；走向；v. 倾向
effect|n. 影响；作用；效果；效应；v. 引起；实现；使生效
consumer|n. 消费者
consumerism|n. 消费主义；保护消费者权益主义
aspiration|n. 渴望；抱负；志向；吸气；送气音
attitude|n. 态度；看法；姿态
behaviour|n. 行为；举止；表现
manner|n. 方式；举止；礼节
abundant|adj. 丰富的；充裕的
abundance|n. 丰富；充足
ample|adj. 足够的；丰裕的
copious|adj. 大量的；丰富的
excess|n. 过度；超过；过量；adj. 多余的；过多的
lavish|adj. 奢侈的；慷慨给予的；挥霍的；过多的；v. 浪费；挥霍；慷慨给予
extravagant|adj. 奢侈的；过度的
mass|n. 大量；质量；团；块；群；adj. 大量的；大规模的
miscellaneous|adj. 混杂的；各种各样的
multitude|n. 大量；众多；群众
numerous|adj. 许多的；众多的
plenteous|adj. 许多的；丰饶的；充足的；丰富的
plentiful|adj. 丰富的；充裕的
plethora|n. 过多；过量；过剩
profuse|adj. 大量的；不吝惜的；浪费的
profusion|n. 大量；丰富；慷慨；浪费
prolific|adj. 多产的；作品丰富的
substantially|adv. 实质上；大体上；充分地
substance|n. 物质；物品；实质；主旨；要点
sufficient|adj. 足够的；充足的
insufficient|adj. 不充分的；不足的
swarm|n. 群；蜂群；v. 云集；充满
wealth|n. 财富；财产
bundling|v. 捆绑；“bundle”的现在分词
bundle|n. 捆；束；包
client|n. 客户；委托人；当事人
gender|n. 性别；（语法）性
low-income|adj. 低收入的
passivity|n. 被动；不抵抗；消极状态
propensity|n. （性格上的）倾向；习性
purchasing power|phrase. 购买力
target audience|phrase. 目标听众
targeted|v. 把 ... 作为目标；瞄准；“target”的过去式和过去分词
temptation|n. 诱惑
upscale|adj. 高消费的；高档的
conviction|n. 坚信；判罪；信服
historical|adj. 有关历史的
relic|n. 遗迹；遗物；遗风；纪念物
infallible|adj. 一贯正确的；万无一失的
testimony|n. 证明；证据；证词
objective|n. 目标；目的；adj. 客观的
goal|n. 目标；进球得分；球门
aim|n. 目标；目的；v. 瞄准；以其为目标
value|n. 价值；（数）值；v. 估价；重视
bequest|n. 遗产；遗赠
heritage|n. 遗产；继承物；传统
inheritance|n. 遗产；遗产继承；继承物
legacy|n. 遗产；遗赠
begrudge|v. 嫉妒；羡慕；不乐意地做（或付出）
desperate|adj. 绝望的；不顾一切的；拼死的；极度渴望的
flatter|v. 奉承；讨好；向…谄媚；adj. 更平坦的；更扁平的；“flat”的比较级；adv. 更平直地；更直截了当地；“flat”的比较级
flatterer|n. 奉承者；马屁精
flattery|n. 奉承；阿谀；恭维话
hesitate|v. 犹豫；踌躇
hesitation|n. 犹豫；踌躇
indecision|n. 优柔寡断；犹豫不决
indifferent|adj. 不感兴趣的，不关心的；（水平）一般的
jealous|adj. 妒忌的；嫉妒的
scruple|n. 顾虑；顾忌；踌躇；v. 顾虑；有顾忌
vacillate|v. 游移不定；踌躇；犹豫
ascertain|v. 查明；弄清；确定
clarify|v. 澄清；阐明
confident|adj. 自信的；确信的
doctrine|n. 学说；教义；教条
exact|adj. 精确的；准确的；v. 强求；急需；要求
exactly|adv. 确切地；准确地；正是
institute|n. 协会；学院；研究所；机构；v. 建立；制定；开创；开始
tentative|adj. 不确定的；暂定的；试验性的；踌躇的
theoretically|adv. 理论上；理论地
switch|v. 转换；n. 开关
swap|v. 交换；n. 交换
autoganzfeld|adj. 自动超感官知觉全域的
automate|v. 使自动化
automation|n. 自动化
variant|adj. 相异的；各种各样的；不定的；n. 变体；变种；变形
technique|n. 技术；工艺；技巧；技艺
performance|n. 表演；表现；性能；履行；执行
random|adj. 随意的；任意的；n. 随意； 任意
irregular|adj. 不规则的；无规律的；不合法的
designed|adj. 精心设计的；v. 设计；“design”的过去式和过去分词
arranged|adj. 安排的；v. 安排；“arrange”的过去式和过去分词
selection|n. 挑选；选择
choice|n. 选择；抉择；精选品；adj. 上等的；精选的
bluetooth|n. 蓝牙
card reader|phrase. 读卡机
CD|abbr. 激光唱片；光盘；“Compact Disc”的缩写
compact disc|phrase. 激光唱片；光盘
CD-ROM|abbr. 光盘只读存储器；光盘驱动器；“compact disc read-only memory”的缩写
compact disc read-only memory|phrase. 只读光盘
copycat|n. 模仿者；adj. 模仿犯罪的
cord|n. 细绳；绳索
CPU|abbr. 中央处理器；“Central Processing Unit”的缩写
central processing unit|phrase. （CPU）中央处理机
expandable|adj. 可膨胀的；可张开的
film|n. 电影；底片；薄薄的一层；v. 拍摄电影
headset|n. 戴在头上的耳机或听筒
USB hub|phrase. 集线器
ink box|phrase. 墨盒
keyboard|n. 键盘
lens|n. 透镜；镜片
memory card|phrase. 记忆卡
memory-chip|n. 存储芯片；内存芯片
microphone|n. 麦克风；扩音器
modem|n. 调制解调器
monitor|n. 监视器；班长；显示器；v. 监控；监视
motherboard|n. 主板
mouse|n. 老鼠；鼠标
plug in|phrase. 插上插头
power adapter|phrase. 电源适配器
power supply|phrase. 电源
router|n. 路由器
slot|n. 狭槽；投币口；v. 把…放入狭缝
solid state disk|phrase. 固态盘
trial version|phrase. 试用版
USB cable|phrase. 传输线
webcam|n. 网络摄像机
accomplish|v. 完成；实现
assign|v. 分配；指派
assignment|n. 分配；指派；任务；作业
mission|n. 使命；任务；使团
responsibility|n. 责任；职责
available|adj. 可获得的；可用的；有空的
station|n. 车站；站
journey|n. 旅行；旅程
voyage|n. 航行；航海；v. 航行；远航
require|v. 需要；要求
need|n. 需要；v. 需要
requirement|n. 需求；要求；必要条件
full fare|phrase. 全票价
valid|adj. 有效的；有根据的；正当的
inspection|n. 检查；视察；查看；审视
scrutiny|n. 细阅；详细检查；仔细研究
airliner|n. 班机；大型客机
airplane|n. 飞机
automobile|n. 汽车
bunk|n. 铺位；卧铺；v. 提供铺位；睡在铺上
by tube|phrase. 乘地铁
carriage|n. 四轮马车；运输；举止；仪态
compartment|n. 分隔间；车厢
cruise ship|phrase. 大型游轮
destination|n. 目的地；终点
electric tram|phrase. 有轨电车
escalator|n. 自动扶梯；电动扶梯
ferryboat|n. 渡船；渡轮
light rail|phrase. 轻轨
platform|n. 平台；站台；月台
subway station|phrase. 地铁车站
terminus|n. 终点站
ocean-going vessel|phrase. 远洋船
yacht|n. 游艇；快艇；帆船；v. 驾游艇；乘游艇
amenity|n. 舒适；怡人；便利设施
apparatus|n. 装置；仪器；器械；器官
appliance|n. 家用电器；器具
axis|n. 轴；轴线
device|n. 设备；装置；手段；策略；方法
fixture|n. 固定物；固定装置；固定成员
gadget|n. 小配件；小器具
gear|n. 用具；齿轮；排挡；v. 换挡；调整；（使）适合
instrumental|adj. 仪器的；乐器的；有帮助的
maneuver|n. 精巧动作；军事演习；花招；v. （熟练地）移动；操控；算计
